Time,Open,High,Low,Close,Volume
20/03/2019,1306.158,1316.938,1298.605,1315.365,1364
21/03/2019,1315.365,1320.305,1303.205,1308.605,1374
22/03/2019,1308.605,1314.898,1306.778,1313.075,1258
24/03/2019,1313.105,1313.935,1311.525,1311.525,116
25/03/2019,1311.538,1324.448,1310.958,1321.258,1375
26/03/2019,1321.258,1322.118,1312.625,1316.358,1377
27/03/2019,1316.348,1319.258,1308.065,1309.335,1375
28/03/2019,1309.335,1312.245,1288.455,1291.495,1374
29/03/2019,1291.495,1299.745,1286.668,1291.885,1259
31/03/2019,1292.025,1293.198,1291.418,1291.708,119
01/04/2019,1291.718,1296.955,1286.425,1287.328,1372
02/04/2019,1287.315,1292.788,1285.145,1291.705,1373
03/04/2019,1291.698,1294.488,1288.335,1291.755,1368
04/04/2019,1291.755,1294.338,1280.848,1292.095,1374
05/04/2019,1292.095,1293.148,1284.325,1291.185,1257
07/04/2019,1291.305,1293.628,1291.205,1291.675,117
08/04/2019,1291.728,1303.648,1291.575,1297.945,1371
09/04/2019,1297.945,1306.138,1296.535,1304.585,1376
10/04/2019,1304.585,1310.518,1300.858,1308.018,1377
11/04/2019,1308.018,1308.325,1289.548,1292.135,1377
12/04/2019,1292.135,1295.708,1290,1290.177,1257
14/04/2019,1291.075,1291.858,1289.245,1289.705,120
15/04/2019,1289.665,1290.338,1282.448,1288.325,1377
16/04/2019,1288.325,1288.325,1272.905,1276.565,1377
17/04/2019,1276.495,1279.688,1272.898,1274.155,1373
18/04/2019,1274.155,1277.628,1271.105,1275.475,1257
21/04/2019,1275.598,1277.125,1274.935,1276.705,119
22/04/2019,1276.728,1279.765,1273.725,1274.598,1367
23/04/2019,1274.598,1276.428,1266.198,1271.355,1377
24/04/2019,1271.365,1278.468,1268.698,1274.635,1375
25/04/2019,1274.628,1282.528,1273.308,1278.558,1377
26/04/2019,1278.558,1288.608,1273.725,1285.695,1258
28/04/2019,1286.275,1286.618,1285.628,1285.795,111
29/04/2019,1285.785,1286.568,1277.988,1280.325,1371
30/04/2019,1280.318,1286.118,1279.835,1283.105,1375
01/05/2019,1283.105,1287.188,1273,1277.018,1375
02/05/2019,1277.018,1277.368,1266.195,1270.678,1368
03/05/2019,1270.688,1282.468,1268.268,1278.775,1253
05/05/2019,1280.305,1285.728,1279.775,1284.148,120
06/05/2019,1284.158,1285.118,1276.935,1282.825,1374
07/05/2019,1282.825,1286.015,1278.155,1284.778,1368
08/05/2019,1284.778,1291.415,1279.275,1281.275,1375
09/05/2019,1281.255,1288.138,1279.528,1283.698,1375
10/05/2019,1283.685,1289.338,1283.068,1285.505,1259
12/05/2019,1287.485,1287.978,1286.455,1287.125,120
13/05/2019,1287.128,1301.685,1281.935,1301.685,1373
14/05/2019,1301.685,1303.245,1293.665,1296.998,1376
15/05/2019,1296.998,1300.848,1292.948,1296.448,1376
16/05/2019,1296.435,1298.688,1284.035,1285.758,1375
17/05/2019,1285.758,1288.868,1274.748,1277.485,1259
19/05/2019,1277.535,1278.808,1276.915,1277.655,120
20/05/2019,1277.655,1278.948,1273.608,1277.358,1370
21/05/2019,1277.295,1277.328,1269.455,1274.578,1371
22/05/2019,1274.625,1277.268,1272.415,1274.165,1378
23/05/2019,1274.145,1287.218,1272.755,1284.075,1377
24/05/2019,1284.055,1285.168,1280.695,1284.615,1252
26/05/2019,1284.655,1285.685,1284.118,1284.655,120
27/05/2019,1284.655,1287.318,1283.705,1285.685,1136
28/05/2019,1285.685,1286.548,1276.055,1279.878,1372
29/05/2019,1279.795,1285.465,1279.015,1279.805,1378
30/05/2019,1279.805,1290.628,1274.948,1290.448,1372
31/05/2019,1290.448,1306.878,1290.328,1305.295,1259
02/06/2019,1306.918,1309.388,1305.835,1309.365,120
03/06/2019,1309.365,1327.898,1308.428,1325.108,1379
04/06/2019,1325.075,1329.005,1319.905,1325.285,1377
05/06/2019,1325.295,1344.048,1325.265,1330.845,1376
06/06/2019,1330.845,1339.748,1327.158,1333.388,1375
07/06/2019,1333.388,1348.198,1330.205,1340.388,1258
09/06/2019,1336.848,1336.848,1333.265,1334.985,120
10/06/2019,1334.985,1337.658,1325.028,1329.218,1374
11/06/2019,1329.228,1329.808,1319.815,1327.695,1373
12/06/2019,1327.695,1338.348,1325.938,1333.518,1376
13/06/2019,1333.518,1344.518,1332.325,1344.418,1380
14/06/2019,1344.418,1358.088,1337.738,1340.888,1259
16/06/2019,1341.785,1342.348,1338.498,1338.508,117
17/06/2019,1338.508,1343.505,1332.915,1339.635,1378
18/06/2019,1339.625,1354.605,1338.545,1345.395,1375
19/06/2019,1345.388,1362.528,1341.195,1357.878,1379
20/06/2019,1357.878,1393.928,1357.878,1390.748,1379
21/06/2019,1390.748,1411.805,1382.5,1399.158,1260
23/06/2019,1400.075,1410.128,1399.648,1406.808,120
24/06/2019,1406.868,1426.027,1400.728,1425.195,1379
25/06/2019,1425.215,1439.138,1411.808,1418.348,1379
26/06/2019,1418.348,1420.488,1401.865,1410.648,1379
27/06/2019,1410.648,1412.048,1398.548,1411.045,1377
28/06/2019,1410.975,1424.568,1405.618,1409.485,1259
30/06/2019,1397.165,1397.698,1384,1391.988,120
01/07/2019,1391.965,1397.048,1381.715,1385.445,1380
02/07/2019,1385.438,1435.998,1383.785,1431.225,1379
03/07/2019,1431.245,1437.688,1411.975,1418.358,1378
04/07/2019,1418.355,1424.128,1410.128,1420.858,1153
05/07/2019,1420.848,1421.268,1386.518,1398.525,1259
07/07/2019,1398.975,1401.465,1392.638,1395.615,120
08/07/2019,1395.615,1407.508,1391.645,1394.235,1379
09/07/2019,1394.238,1400.025,1385.658,1395.205,1380
10/07/2019,1395.235,1422.435,1389.838,1421.945,1380
11/07/2019,1421.945,1427.078,1400.738,1403.898,1380
12/07/2019,1403.968,1416.818,1403.048,1415.145,1259
